,Address,Location,Date of sale,Boarea (m²),Total Area (m²),Rooms,Plot Area (m²),Closing price (kr)
180,Krokebäcksvägen 85,"Kareby,          Kungälvs kommun",11 augusti 2022,123.0,,5.0,226 ,5100000.0
181,Guddeby 210,"Ytterby,          Kungälvs kommun",4 augusti 2022,120.0,240.0,7.0,3 512 ,4600000.0
182,Hallbjörtorp 330,"Kärna,          Kungälvs kommun",4 augusti 2022,99.0,,4.0,2 733 ,2600000.0
183,Glöskär 875,"Kärna,          Kungälvs kommun",20 juli 2022,110.0,115.0,5.0,1 615 ,6775000.0
184,Stora Risby 400,"Hålta,          Kungälvs kommun",18 juli 2022,74.0,142.0,6.0,1 078 ,4500000.0
185,Hemmansgatan 7,"Ytterby,          Kungälvs kommun",15 juli 2022,155.0,197.0,6.0,875 ,5100000.0
186,Hemvägen 7,"Romelanda,          Kungälvs kommun",15 juli 2022,105.0,138.0,5.0,437 ,3750000.0
187,Ulvesund 296,"Ytterby,          Kungälvs kommun",13 juli 2022,169.0,,5.0,2 567 ,8800000.0
188,Torsby 250,"Kärna,          Kungälvs kommun",10 juli 2022,170.0,230.0,7.0,1 810 ,6525000.0
189,Åkerhög 340,"Kärna,          Kungälvs kommun",9 juli 2022,45.0,,3.0,1 527 ,2500000.0
190,Rondan 13,"Kungälv - Ödsmålsmosse,          Kungälvs kommun",5 juli 2022,102.0,157.0,5.0,1 380 ,4650000.0
191,Blåsippegatan 12,"Kungälv - Ytterby,          Kungälvs kommun",3 juli 2022,115.0,,5.0,569 ,3850000.0
192,Bergsvägen 4,"Ödsmålsmosse,          Kungälvs kommun",28 juni 2022,88.0,103.0,2.0,783 ,3995000.0
193,Veneröd 439,"Hålta,          Kungälvs kommun",28 juni 2022,118.0,,3.0,8 133 ,3680000.0
194,Lefstadvägen 31,"Kärna,          Kungälvs kommun",27 juni 2022,130.0,,5.0,881 ,5050000.0
195,Silvergnejsvägen 18,"Kungälv - Gullbringa,          Kungälvs kommun",27 juni 2022,179.0,,5.0,2 120 ,5800000.0
196,Östra gatan 9,"Gamla Kungälv,          Kungälvs kommun",27 juni 2022,325.0,406.0,10.0,852 ,10500000.0
197,Apelvägen 10,"Diseröd,          Kungälvs kommun",25 juni 2022,104.0,,4.0,486 ,3275000.0
198,Dösebacka 110,"Romelanda,          Kungälvs kommun",23 juni 2022,144.0,223.0,6.0,5 634 ,5780000.0
199,Lerskärsvägen 18,"Tjuvkil,          Kungälvs kommun",22 juni 2022,65.0,130.0,5.0,1 216 ,3995000.0
200,Halltorpsvägen 11,"Kode,          Kungälvs kommun",22 juni 2022,107.0,120.0,4.0,1 119 ,4800000.0
201,Duvesjön 351,"Romelanda,          Kungälvs kommun",21 juni 2022,50.0,85.0,2.0,2 418 ,1750000.0
202,Kärnavägen 50,"Bohuslän,          Kungälvs kommun",21 juni 2022,128.0,,,525 ,3200000.0
203,Idrottsgatan 14,"Marstrand,          Kungälvs kommun",21 juni 2022,114.0,174.0,,592 ,7800000.0
204,Äslingsvägen 10,"Tjuvkil,          Kungälvs kommun",20 juni 2022,75.0,118.0,4.0,1 355 ,4150000.0
205,Solberg 450,"Bohuslän,          Kungälvs kommun",19 juni 2022,158.0,,6.0,5 435 ,5250000.0
206,Almvägen 9,"Romelanda,          Kungälvs kommun",17 juni 2022,129.0,139.0,6.0,803 ,5260000.0
207,Flateby 525,"Bohuslän,          Kungälvs kommun",17 juni 2022,154.0,,6.0,2 814 ,6275000.0
208,Korpedalsvägen 9,"Aröd,          Kungälvs kommun",16 juni 2022,47.0,,4.0,1 317 ,3350000.0
209,Östergårdsgatan 23,"Ytterby,          Kungälvs kommun",15 juni 2022,180.0,228.0,6.0,840 ,5600000.0
210,Åsleröd 130,"Bohuslän,          Kungälvs kommun",15 juni 2022,120.0,155.0,4.0,1 566 ,4700000.0
211,Rävo 131,"Bohuslän,          Kungälvs kommun",13 juni 2022,140.0,,5.0,3 380 ,7450000.0
212,Situlagatan 4,"Ytterby - Stället,          Kungälvs kommun",11 juni 2022,138.0,165.0,5.0,636 ,6620000.0
213,Duvesjön 373,"Duvesjön,          Kungälvs kommun",9 juni 2022,149.0,158.0,5.0,1 604 ,4900000.0
214,Odlingsgatan 78,"Ytterby,          Kungälvs kommun",9 juni 2022,130.0,,5.0,295 ,5600000.0
215,Östra gatan 29,"Kungälv,          Kungälvs kommun",8 juni 2022,192.0,320.0,8.0,384 ,8300000.0
216,Duvesjön 369,"Kungälv -Duvesjön,          Kungälvs kommun",6 juni 2022,,,4.0,1 198 ,5050000.0
217,Tjuvkils huvud 918,"Tjuvkil,          Kungälvs kommun",4 juni 2022,60.0,,4.0,1 376 ,5150000.0
218,Bergåsvägen 10B,"Ytterby,          Kungälvs kommun",3 juni 2022,115.0,193.0,6.0,834 ,5700000.0
219,Lagvägen 29,"Ytterby,          Kungälvs kommun",31 maj 2022,101.0,,4.0,713 ,4700000.0
220,Lerskärsvägen 49,"Tjuvkil,          Kungälvs kommun",31 maj 2022,189.0,,6.0,1 133 ,7100000.0
221,Sagagatan 6,"Centralt vid älven,          Kungälvs kommun",29 maj 2022,280.0,325.0,6.0,768 ,8500000.0
222,Glose 120,"Glose,          Kungälvs kommun",27 maj 2022,64.0,128.0,4.0,1 418 ,3500000.0
223,Toreby 240,"Kärna,          Kungälvs kommun",26 maj 2022,89.0,178.0,4.0,1 245 ,3895000.0
224,Tronnum 370,"Kärna,          Kungälvs kommun",26 maj 2022,165.0,201.0,5.0,2 407 ,6360000.0
225,Ängsgatan 9,"Centrum,          Kungälvs kommun",23 maj 2022,165.0,181.0,6.0,575 ,5700000.0
226,Storskiftegatan 35,"Övre Tega,          Kungälvs kommun",22 maj 2022,84.0,95.0,3.0,255 ,4000000.0
227,Lerskärsvägen 36,"Tjuvkil,          Kungälvs kommun",20 maj 2022,75.0,,,1 156 ,3800000.0
228,Rörstigen 8,"Centralt vid älven,          Kungälvs kommun",17 maj 2022,129.0,131.0,5.0,407 ,6200000.0
229,Bäckvägen 2,"Kungälv - Lökeberg,          Kungälvs kommun",16 maj 2022,95.0,143.0,3.0,1 050 ,6300000.0
