,Address,Location,Date of sale,Bo area (m²),Total Area (m²),Rooms,Plot Area (m²),Closing price (kr)
1493,Kornhall 210,"Harestad,          Kungälvs kommun",17 oktober 2016,80,NaN,4,570 ,2 200 000 
1494,Tröskvägen 270,"Ullstorp,          Kungälvs kommun",14 oktober 2016,140,NaN,5,557 ,5 700 000 
1495,Glöskär 300,"Kärna,          Kungälvs kommun",13 oktober 2016,60,NaN,3,1 988 ,1 400 000 
1496,Västerängen 17,"Ytterby,          Kungälvs kommun",13 oktober 2016,143,143+37,6,825 ,4 550 000 
1497,Solhultsgatan 20,"Centrum,          Kungälvs kommun",12 oktober 2016,112,112+46,4,558 ,3 830 000 
1498,Prästbol 165,"Aröd,          Kungälvs kommun",10 oktober 2016,171,NaN,6,2 805 ,5 400 000 
1499,Toftåsen 10,"Sundhammar,          Kungälvs kommun",8 oktober 2016,70,NaN,3,1 961 ,2 490 000 
1500,Solvagnsgatan 28,"Ytterby - Stället,          Kungälvs kommun",8 oktober 2016,164,164+12,6,441 ,4 725 000 
1501,Kärrhed 240,"Kärna,          Kungälvs kommun",7 oktober 2016,48,NaN,2,2 760 ,2 100 000 
1502,Sköldgatan 5,"Ytterby Stället,          Kungälvs kommun",5 oktober 2016,137,137+8,5,437 ,4 400 000 
1503,Signehög 210,"Kungälv - Romelanda,          Kungälvs kommun",30 september 2016,142,NaN,6,945 ,3 100 000 
1504,Hallsbrovägen 3,"Kärna,          Kungälvs kommun",29 september 2016,60,NaN,2,1 801 ,1 150 000 
1505,Lökebergsvägen 41,"Lökeberg,          Kungälvs kommun",29 september 2016,44,44+6,2,1 511 ,2 550 000 
1506,Domsvägen 3,"Ytterby,          Kungälvs kommun",29 september 2016,157,157+99,6,921 ,4 850 000 
1507,Plogvägen 180,"Kungälv,          Kungälvs kommun",25 september 2016,106,106+5,Nan,338 ,4 300 000 
1508,Bärtas väg 13,"Ödsmålsmosse,          Kungälvs kommun",23 september 2016,75,NaN,3,1 418 ,3 250 000 
1509,Onyxvägen 19,"Kode,          Kungälvs kommun",23 september 2016,155,NaN,7,557 ,4 750 000 
1510,Lingonvägen 38,"Centralt,          Kungälvs kommun",17 september 2016,127,NaN,5,428 ,4 560 000 
1511,Djupuddsvägen 20,"Marstrand - Instön,          Kungälvs kommun",14 september 2016,112,NaN,3,1 438 ,3 500 000 
1512,Kastellegårdsgatan 47,"KUNGÄLV,          Kungälvs kommun",13 september 2016,116,116+50,4,938 ,3 425 000 
1513,Rosenstensvägen 41,"Kode,          Kungälvs kommun",10 september 2016,135,NaN,Nan,193 ,2 800 000 
1514,Annas väg 25,"Kovikshamn,          Kungälvs kommun",9 september 2016,62,62+22,3,1 026 ,2 730 000 
1515,Knaverstad-Ryr 580,"Aröd,          Kungälvs kommun",2 september 2016,158,158+4,6,1 012 ,2 840 000 
1516,Solrosvägen 12,"Kärna,          Kungälvs kommun",1 september 2016,135,135+96,8,818 ,3 325 000 
1517,Bergåsvägen 16 C-D,"Ytterby,          Kungälvs kommun",30 augusti 2016,175,NaN,6,600 ,4 700 000 
1518,Åkerhög 310,"Vedhall - Åkerhög,          Kungälvs kommun",28 augusti 2016,65,NaN,3,1 500 ,2 050 000 
1519,Skårby Mosse 870,"Bohuslän,          Kungälvs kommun",26 augusti 2016,147,147+50,5,3 073 ,4 000 000 
1520,Rörtången 126,"Rörtången,          Kungälvs kommun",25 augusti 2016,170,170+20,5,1 638 ,8 700 000 
1521,Sjöhåla Strandväg 14,"Kovikshamn,          Kungälvs kommun",24 augusti 2016,164,NaN,4,1 075 ,5 700 000 
1522,Tegskiftegatan 20,"YTTERBY,          Kungälvs kommun",20 augusti 2016,102,102+102,5,969 ,3 550 000 
1523,Bärtas väg 23,"Ödsmålsmosse,          Kungälvs kommun",18 augusti 2016,51,51+20,3,1 380 ,3 025 000 
1524,Långgatan 8,"Marstrandsön,          Kungälvs kommun",15 augusti 2016,244,244+50,1,318 ,11 250 000 
1525,Instölid 40,"Marstrand-Instön,          Kungälvs kommun",14 augusti 2016,70,NaN,4,1 010 ,3 500 000 
1526,Åsebyberg 847,"KODE,          Kungälvs kommun",12 augusti 2016,120,120+15,4,1 163 ,3 300 000 
1527,Bremnäs 305,"LYCKE,          Kungälvs kommun",8 augusti 2016,115,NaN,4,1 979 ,4 000 000 
1528,Tröskvägen 256,"Ullstorp,          Kungälvs kommun",28 juli 2016,149,149+9,6,440 ,5 355 000 
1529,Östra röd 248,"HARESTAD,          Kungälvs kommun",27 juli 2016,144,NaN,Nan,2 006 ,4 200 000 
1530,Stenstavägen 21,"Tjuvkil,          Kungälvs kommun",25 juli 2016,140,140+58,6,1 223 ,6 000 000 
1531,Rombacka 180,"Kareby,          Kungälvs kommun",20 juli 2016,53,53+7,2,2 031 ,1 075 000 
1532,Vedbackavägen 4 A + B,"Rödbo,          Kungälvs kommun",18 juli 2016,254,254+42,7,1 046 ,2 900 000 
1533,Lefstad 110,"Kärna,          Kungälvs kommun",15 juli 2016,182,NaN,8,2 630 ,2 600 000 
1534,Gunneröd 290,"Lycke,          Kungälvs kommun",15 juli 2016,132,132+39,4,2 125 ,2 300 000 
1535,Duvesjön 228,"Duvesjön,          Kungälvs kommun",13 juli 2016,121,121+37,5,1 150 ,3 400 000 
1536,Violgatan 7,"Ytterby,          Kungälvs kommun",11 juli 2016,139,139+36,7,588 ,4 200 000 
1537,Instölid 65,"Marstrand-Instön,          Kungälvs kommun",10 juli 2016,60,NaN,4,1 012 ,3 320 000 
1538,Rörtången 103,"Rörtången,          Kungälvs kommun",8 juli 2016,162,162+62,5,1 015 ,7 250 000 
1539,Nereby 360,"Kärna - Harestad,          Kungälvs kommun",6 juli 2016,120,120+40,6,1 149 ,3 100 000 
1540,Skår 260,"Romelanda Skår,          Kungälvs kommun",6 juli 2016,31,NaN,2,785 ,250 000 
1541,Mariebergsvägen 130,"Östra Kungälv - Marieberg,          Kungälvs kommun",5 juli 2016,230,230+41,0,2 100 ,5 520 000 
1542,Lerlycke 240,"Lerlycke - Kärna,          Kungälvs kommun",5 juli 2016,129,129+44,3,12 665 ,4 420 000 
1543,Rörtången 295,"Kode,          Kungälvs kommun",4 juli 2016,90,90+15,4,1 795 ,5 275 000 
1544,Dannemarksgatan 45,"Tega,          Kungälvs kommun",4 juli 2016,140,NaN,5,1 072 ,4 850 000 
1545,Krokens Väg 11,"Tjuvkil,          Kungälvs kommun",4 juli 2016,148,NaN,6,1 155 ,6 000 000 
1546,Briljantvägen 9,"KODE,          Kungälvs kommun",1 juli 2016,125,NaN,5,350 ,3 200 000 
1547,Rörmossevägen 180,"Rörmossen,          Kungälvs kommun",28 juni 2016,110,110+135,6,1 827 ,3 725 000 
1548,Hammar 565,"Skäggstorp,          Kungälvs kommun",26 juni 2016,160,NaN,4,2 210 ,3 000 000 
1549,Byvägen 33,"Kode Ödsmål,          Kungälvs kommun",22 juni 2016,58,NaN,3,1 871 ,2 625 000 
1550,Alelyckans väg 23,"Kode,          Kungälvs kommun",21 juni 2016,80,80+100,5,37 080 ,9 000 000 
1551,Krokens Väg 16,"Tjuvkil,          Kungälvs kommun",19 juni 2016,67,67+50,4,1 590 ,3 250 000 
1552,Stenstavägen 1,"Tjuvkil,          Kungälvs kommun",14 juni 2016,125,125+32,5,800 ,3 850 000 
1553,Instölid 82,"MARSTRAND,          Kungälvs kommun",14 juni 2016,36,36+10,3,902 ,2 320 000 
1554,Rönnvägen 7,"Romelanda Diseröd,          Kungälvs kommun",10 juni 2016,122,122+82,7,796 ,3 300 000 
1555,Valler 300,"Valler - Romelanda,          Kungälvs kommun",8 juni 2016,185,185+52,7,2 497 ,3 450 000 
1556,Svartedalen 220,"Svartedalen-Björkärr,          Kungälvs kommun",6 juni 2016,30,NaN,3,1 774 ,685 000 
1557,Fontinvägen 42,"Centrum,          Kungälvs kommun",4 juni 2016,118,118+7,4,440 ,5 100 000 
1558,Bokvägen 10,"Centrum,          Kungälvs kommun",3 juni 2016,125,125+27,5,635 ,4 400 000 
1559,Hermansby 150,"Kärna,          Kungälvs kommun",2 juni 2016,123,123+97,6,2 397 ,4 070 000 
1560,Duvesjön 348,"Kungälv -Duvesjön,          Kungälvs kommun",1 juni 2016,160,160+26,4,1 927 ,5 200 000 
1561,Granndalen 12,"Lycke,          Kungälvs kommun",31 maj 2016,65,NaN,2,1 217 ,2 050 000 
1562,Åsgatan 5,"Kungälv - Centrum,          Kungälvs kommun",31 maj 2016,120,120+60,6,948 ,5 565 000 
1563,Hemmansgatan 3,"Ytterby-Tega,          Kungälvs kommun",31 maj 2016,158,NaN,6,859 ,3 855 000 
1564,Jakobsvägen 27,"Aröd,          Kungälvs kommun",31 maj 2016,140,NaN,5,2 050 ,4 850 000 
1565,Olserödsgatan 114,"Kungälv - Olseröd,          Kungälvs kommun",30 maj 2016,144,144+132,7,712 ,5 325 000 
1566,Slånbärsvägen 15,"Munkegärde Östra,          Kungälvs kommun",27 maj 2016,145,145+31,5,647 ,5 100 000 
1567,Rosenstensvägen 33,"Kode,          Kungälvs kommun",26 maj 2016,112,NaN,4,620 ,3 400 000 
1568,Stinneröd 260,"Bohuslän,          Kungälvs kommun",26 maj 2016,65,65+65,4,1 734 ,1 300 000 
1569,Onyxvägen 22,"Kode lantligt,          Kungälvs kommun",26 maj 2016,123,NaN,5,566 ,3 210 000 
1570,Hällristningsgatan 26,"Ytterby Stället,          Kungälvs kommun",26 maj 2016,75,NaN,3,404 ,2 995 000 
1571,Duvesjön 371,"Romelanda-Duvesjön,          Kungälvs kommun",23 maj 2016,4,NaN,4,1 808 ,3 600 000 
1572,Mjölnarvägen 16,"Romelanda,          Kungälvs kommun",23 maj 2016,121,121+47,5,831 ,2 385 000 
1573,Lerskärsvägen 63,"Tjuvkil,          Kungälvs kommun",21 maj 2016,110,110+10,3,884 ,3 875 000 
1574,Briljantvägen 36,"Kode,          Kungälvs kommun",21 maj 2016,150,NaN,5,462 ,4 100 000 
1575,Jägarvägen 6,"Romelanda,          Kungälvs kommun",17 maj 2016,159,159+16,6,564 ,3 625 000 
1576,Plogvägen 174,"Ullstorp,          Kungälvs kommun",16 maj 2016,122,NaN,5,308 ,4 175 000 
1577,Brunnefjällsvägen 3,"Vedhall,          Kungälvs kommun",15 maj 2016,94,94+16,4,1 067 ,2 695 000 
1578,Toreby 380,"Harestad,          Kungälvs kommun",14 maj 2016,157,157+99,7,2 591 ,2 902 500 
1579,Hemvägen 25,"Romelanda - Diseröd,          Kungälvs kommun",13 maj 2016,138,138+19,5,381 ,3 250 000 
1580,Solskiftegatan 14,"Ytterby - Tega,          Kungälvs kommun",12 maj 2016,171,171+25,6,1 091 ,3 900 000 
