,Address,Location,Date of sale,Bo area (m²),Total Area (m²),Rooms,Plot Area (m²),Closing price (kr)
1698,Lundby 450,"Kungälv - Kareby,          Kungälvs kommun",10 juli 2015,125,125+142,5,2 522 ,3 525 000 
1699,Solskiftegatan 63,"Övre Tega - Ytterby,          Kungälvs kommun",9 juli 2015,171,171+31,6,810 ,4 300 000 
1700,Korsgatan 4 a och b,"Marstrand Koön,          Kungälvs kommun",3 juli 2015,,NaN,Nan,393 ,11 000 000 
1701,Flateby 180,"Harestad,          Kungälvs kommun",1 juli 2015,119,119+98,6,5 476 ,3 400 000 
1702,Bräcke 330,"Kärna,          Kungälvs kommun",30 juni 2015,85,NaN,4,1 188 ,1 700 000 
1703,Oskarsbergsgatan 10,"Ytterby - Tega, Kungälv,          Kungälvs kommun",29 juni 2015,157,NaN,5,784 ,3 200 000 
1704,Safirvägen 1,"Kode,          Kungälvs kommun",27 juni 2015,131,NaN,5,753 ,2 700 000 
1705,Strömgatan 6,"Ytterby,          Kungälvs kommun",26 juni 2015,98,98+71,5,1 169 ,3 100 000 
1706,Bollestad 140,"Kareby,          Kungälvs kommun",24 juni 2015,110,110+5,6,19 720 ,3 200 000 
1707,Domsvägen 8,"Ytterby Tunge,          Kungälvs kommun",23 juni 2015,160,NaN,5,1 184 ,3 200 000 
1708,Stora Risby 380,"Kungälv - Hålta,          Kungälvs kommun",17 juni 2015,75,75+55,5,963 ,2 200 000 
1709,Solvagnsgatan 16,"Ytterby - Stället,          Kungälvs kommun",16 juni 2015,165,165+12,6,771 ,5 275 000 
1710,Kyrkeby 340,"Kärna - Harestad,          Kungälvs kommun",16 juni 2015,188,NaN,7,5 010 ,3 700 000 
1711,Lievägen 242,"Kungälv - Ullstorp,          Kungälvs kommun",14 juni 2015,122,122+5,5,236 ,3 970 000 
1712,Kungälvsvägen 22,"Kungälv Gamla Grinden,          Kungälvs kommun",14 juni 2015,112,NaN,5,1 548 ,3 250 000 
1713,Årsnäs 460,"Solberga - Kode,          Kungälvs kommun",13 juni 2015,40,NaN,3,2 393 ,2 300 000 
1714,Dammkärrsvägen 1,"Lycke,          Kungälvs kommun",12 juni 2015,84,NaN,3,1 078 ,2 700 000 
1715,Hammarhöjden 690,"Kode,          Kungälvs kommun",10 juni 2015,76,NaN,3,1 141 ,1 600 000 
1716,Slottsgatan 6,"Marstrand - Koön,          Kungälvs kommun",5 juni 2015,126,126+14,6,340 ,8 000 000 
1717,Högsberg 360,"Kode,          Kungälvs kommun",4 juni 2015,72,72+65,3,2 242 ,2 500 000 
1718,Lefstad 190,"Bohuslän,          Kungälvs kommun",4 juni 2015,65,65+68,3,1 906 ,1 975 000 
1719,Bredsten 118,"Ytterby,          Kungälvs kommun",3 juni 2015,147,NaN,6,1 570 ,4 725 000 
1720,Hanekullen 210,"Kungälv - Kareby,          Kungälvs kommun",3 juni 2015,148,148+30,5,1 892 ,4 150 000 
1721,Länsmansvägen 2,"Ytterby,          Kungälvs kommun",31 maj 2015,195,195+195,7,1 753 ,4 200 000 
1722,Marieberg 220,"Romelanda,          Kungälvs kommun",29 maj 2015,183,183+12,5,1 541 ,3 500 000 
1723,Sörgårdsvägen 510,"Kungälv Kärna Sundhammar,          Kungälvs kommun",29 maj 2015,200,200+45,9,1 930 ,3 660 000 
1724,Sörgårdsvägen 530,"Kungälv Kärna Sundhammar,          Kungälvs kommun",29 maj 2015,139,NaN,5,1 337 ,3 350 000 
